departamento,municipio,distrito
SAN SALVADOR,SAN SALVADOR ESTE,Tonacatepeque
SAN SALVADOR,SAN SALVADOR CENTRO,Ayutuxtepeque
SAN SALVADOR,SAN SALVADOR CENTRO,Mejicanos
SAN SALVADOR,SAN SALVADOR CENTRO,San Salvador
SAN SALVADOR,SAN SALVADOR CENTRO,Cuscatancingo
SAN SALVADOR,SAN SALVADOR CENTRO,Ciudad Delgado
SAN SALVADOR,SAN SALVADOR SUR,Panchimalco
SAN SALVADOR,SAN SALVADOR SUR,Rosario de Mora
SAN SALVADOR,SAN SALVADOR SUR,San Marcos
SAN SALVADOR,SAN SALVADOR SUR,Santo Tomás
SAN SALVADOR,SAN SALVADOR SUR,Santiago Texacuangos
LA LIBERTAD,LA LIBERTAD NORTE,Quezaltepeque
LA LIBERTAD,LA LIBERTAD NORTE,San Matías
LA LIBERTAD,LA LIBERTAD NORTE,San Pablo Tacachico
LA LIBERTAD,LA LIBERTAD CENTRO,San Juan Opico
LA LIBERTAD,LA LIBERTAD CENTRO,Ciudad Arce
LA LIBERTAD,LA LIBERTAD OESTE,Colón
LA LIBERTAD,LA LIBERTAD OESTE,Jayaque
LA LIBERTAD,LA LIBERTAD OESTE,Sacacoyo
LA LIBERTAD,LA LIBERTAD OESTE,Tepecoyo
LA LIBERTAD,LA LIBERTAD OESTE,Talnique
LA LIBERTAD,LA LIBERTAD ESTE,Antiguo Cuscatlán
LA LIBERTAD,LA LIBERTAD ESTE,Huizúcar
LA LIBERTAD,LA LIBERTAD ESTE,Nuevo Cuscatlán
LA LIBERTAD,LA LIBERTAD ESTE,San José Villanueva
LA LIBERTAD,LA LIBERTAD ESTE,Zaragoza
LA LIBERTAD,LA LIBERTAD COSTA,Chiltiupán
LA LIBERTAD,LA LIBERTAD COSTA,Jicalapa
LA LIBERTAD,LA LIBERTAD COSTA,La Libertad
LA LIBERTAD,LA LIBERTAD COSTA,Tamanique
LA LIBERTAD,LA LIBERTAD COSTA,Teotepeque
LA LIBERTAD,LA LIBERTAD SUR,Comasagua
LA LIBERTAD,LA LIBERTAD SUR,Santa Tecla
CABAÑAS,CABAÑAS ESTE,Sensuntepeque
CABAÑAS,CABAÑAS ESTE,Victoria
CABAÑAS,CABAÑAS ESTE,Dolores
CABAÑAS,CABAÑAS ESTE,Guacotecti
CABAÑAS,CABAÑAS ESTE,San Isidro
CABAÑAS,CABAÑAS OESTE,Ilobasco
CABAÑAS,CABAÑAS OESTE,Tejutepeque
CABAÑAS,CABAÑAS OESTE,Jutiapa
CABAÑAS,CABAÑAS OESTE,Cinquera
SAN VICENTE,SAN VICENTE NORTE,Apastepeque
SAN VICENTE,SAN VICENTE NORTE,Santa Clara
SAN VICENTE,SAN VICENTE NORTE,San Ildefonso
SAN VICENTE,SAN VICENTE NORTE,San Esteban Catarina
SAN VICENTE,SAN VICENTE NORTE,San Sebastián
SAN VICENTE,SAN VICENTE NORTE,San Lorenzo
SAN VICENTE,SAN VICENTE NORTE,Santo Domingo
SAN VICENTE,SAN VICENTE SUR,San Vicente
SAN VICENTE,SAN VICENTE SUR,Guadalupe
SAN VICENTE,SAN VICENTE SUR,Verapaz
SAN VICENTE,SAN VICENTE SUR,Nuevo Tepetitán
SAN VICENTE,SAN VICENTE SUR,Tecoluca
SAN VICENTE,SAN VICENTE SUR,San Cayetano Istepeque
LA PAZ,LA PAZ OESTE,Cuyultitán
LA PAZ,LA PAZ OESTE,Olocuilta
LA PAZ,LA PAZ OESTE,San Juan Talpa
LA PAZ,LA PAZ OESTE,San Luis Talpa
LA PAZ,LA PAZ OESTE,San Pedro Masahuat
LA PAZ,LA PAZ OESTE,Tapalhuaca
LA PAZ,LA PAZ OESTE,San Francisco Chinameca
LA PAZ,LA PAZ CENTRO,El Rosario
LA PAZ,LA PAZ CENTRO,Jerusalén
LA PAZ,LA PAZ CENTRO,Mercedes La Ceiba
LA PAZ,LA PAZ CENTRO,Paraíso de Osorio
LA PAZ,LA PAZ CENTRO,San Antonio Masahuat
LA PAZ,LA PAZ CENTRO,San Emigdio
LA PAZ,LA PAZ CENTRO,San Juan Tepezontes
LA PAZ,LA PAZ CENTRO,San Luis La Herradura
LA PAZ,LA PAZ CENTRO,San Miguel Tepezontes
LA PAZ,LA PAZ CENTRO,San Pedro Nonualco
LA PAZ,LA PAZ CENTRO,Santa María Ostuma
LA PAZ,LA PAZ CENTRO,Santiago Nonualco
LA PAZ,LA PAZ ESTE,San Juan Nonualco
LA PAZ,LA PAZ ESTE,San Rafael Obrajuelo
LA PAZ,LA PAZ ESTE,Zacatecoluca
USULUTÁN,USULUTÁN NORTE,Santiago de María
USULUTÁN,USULUTÁN NORTE,Alegría
USULUTÁN,USULUTÁN NORTE,Berlín
USULUTÁN,USULUTÁN NORTE,Mercedes Umaña
USULUTÁN,USULUTÁN NORTE,Jucuapa
USULUTÁN,USULUTÁN NORTE,El Triunfo
USULUTÁN,USULUTÁN NORTE,Estanzuelas
USULUTÁN,USULUTÁN NORTE,San Buenaventura
USULUTÁN,USULUTÁN NORTE,Nueva Granada
USULUTÁN,USULUTÁN ESTE,Usulután
USULUTÁN,USULUTÁN ESTE,Jucuarán
USULUTÁN,USULUTÁN ESTE,San Dionisio
USULUTÁN,USULUTÁN ESTE,Concepción Batres
USULUTÁN,USULUTÁN ESTE,Santa María
USULUTÁN,USULUTÁN ESTE,Ozatlán
USULUTÁN,USULUTÁN ESTE,Tecapán
USULUTÁN,USULUTÁN ESTE,Santa Elena
USULUTÁN,USULUTÁN ESTE,California
USULUTÁN,USULUTÁN ESTE,Ereguayquín
USULUTÁN,USULUTÁN OESTE,Jiquilisco
USULUTÁN,USULUTÁN OESTE,Puerto El Triunfo
USULUTÁN,USULUTÁN OESTE,San Agustín
USULUTÁN,USULUTÁN OESTE,San Francisco Javier
SAN MIGUEL,SAN MIGUEL NORTE,Ciudad Barrios
SAN MIGUEL,SAN MIGUEL NORTE,Sesori
SAN MIGUEL,SAN MIGUEL NORTE,Nuevo Edén de San Juan
SAN MIGUEL,SAN MIGUEL NORTE,San Gerardo
SAN MIGUEL,SAN MIGUEL NORTE,San Luis de la Reina
SAN MIGUEL,SAN MIGUEL NORTE,Carolina
SAN MIGUEL,SAN MIGUEL NORTE,San Antonio del Mosco
SAN MIGUEL,SAN MIGUEL NORTE,Chapeltique
SAN MIGUEL,SAN MIGUEL CENTRO,San Miguel
SAN MIGUEL,SAN MIGUEL CENTRO,Comacarán
SAN MIGUEL,SAN MIGUEL CENTRO,Uluazapa
SAN MIGUEL,SAN MIGUEL CENTRO,Moncagua
SAN MIGUEL,SAN MIGUEL CENTRO,Quelepa
SAN MIGUEL,SAN MIGUEL CENTRO,Chirilagua
SAN MIGUEL,SAN MIGUEL OESTE,Chinameca
SAN MIGUEL,SAN MIGUEL OESTE,Nueva Guadalupe
SAN MIGUEL,SAN MIGUEL OESTE,Lolotique
SAN MIGUEL,SAN MIGUEL OESTE,San Jorge
SAN MIGUEL,SAN MIGUEL OESTE,San Rafael Oriente
SAN MIGUEL,SAN MIGUEL OESTE,El Tránsito
MORAZÁN,MORAZÁN NORTE,Arambala
MORAZÁN,MORAZÁN NORTE,Cacaopera
MORAZÁN,MORAZÁN NORTE,Corinto
MORAZÁN,MORAZÁN NORTE,El Rosario
MORAZÁN,MORAZÁN NORTE,Joateca
MORAZÁN,MORAZÁN NORTE,Jocoaitique
MORAZÁN,MORAZÁN NORTE,Meanguera
MORAZÁN,MORAZÁN NORTE,Perquín
MORAZÁN,MORAZÁN NORTE,San Fernando
MORAZÁN,MORAZÁN NORTE,San Isidro
MORAZÁN,MORAZÁN NORTE,Torola
MORAZÁN,MORAZÁN SUR,Chilanga
MORAZÁN,MORAZÁN SUR,Delicias de Concepción
MORAZÁN,MORAZÁN SUR,El Divisadero
MORAZÁN,MORAZÁN SUR,Gualococti
MORAZÁN,MORAZÁN SUR,Guatajiagua
MORAZÁN,MORAZÁN SUR,Jocoro
MORAZÁN,MORAZÁN SUR,Lolotiquillo
MORAZÁN,MORAZÁN SUR,Osicala
MORAZÁN,MORAZÁN SUR,San Carlos
MORAZÁN,MORAZÁN SUR,San Francisco Gotera
MORAZÁN,MORAZÁN SUR,San Simón
MORAZÁN,MORAZÁN SUR,Sensembra
MORAZÁN,MORAZÁN SUR,Sociedad
MORAZÁN,MORAZÁN SUR,Yamabal
MORAZÁN,MORAZÁN SUR,Yoloaiquín
LA UNIÓN,LA UNIÓN NORTE,Anamorós
LA UNIÓN,LA UNIÓN NORTE,Bolívar
LA UNIÓN,LA UNIÓN NORTE,Concepción de Oriente
LA UNIÓN,LA UNIÓN NORTE,El Sauce
LA UNIÓN,LA UNIÓN NORTE,Lislique
LA UNIÓN,LA UNIÓN NORTE,Nueva Esparta
LA UNIÓN,LA UNIÓN NORTE,Pasaquina
LA UNIÓN,LA UNIÓN NORTE,Polorós
LA UNIÓN,LA UNIÓN NORTE,San José
LA UNIÓN,LA UNIÓN NORTE,Santa Rosa de Lima
LA UNIÓN,LA UNIÓN SUR,Conchagua
LA UNIÓN,LA UNIÓN SUR,El Carmen
LA UNIÓN,LA UNIÓN SUR,Intipucá
LA UNIÓN,LA UNIÓN SUR,La Unión
LA UNIÓN,LA UNIÓN SUR,Meanguera del Golfo
LA UNIÓN,LA UNIÓN SUR,San Alejo
LA UNIÓN,LA UNIÓN SUR,Yayantique
LA UNIÓN,LA UNIÓN SUR,Yucuaiquín
